"province","date","confirmed","deaths","recovered","tested","ICU","hospital","population","Lat","Long","confirmed_dailyAvg7","confirmed_1M","deaths_dailyAvg7","deaths_1M","caseFatality","recovered_dailyAvg7","recovered_1M","tested_daily","tested_1M"
"Northwest Territories",2020-03-04,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-04,20,0,3,0,0,0,14446515,51.2538,-85.3232,2.14285714285714,1.38441693377261,0,0,0,0,0.207662540065891,0,0
"Prince Edward Island",2020-03-04,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-04,1,0,0,0,0,0,8433301,52.9399,-73.5491,0.142857142857143,0.118577529724126,0,0,0,0,0,0,0
"Repatriated",2020-03-04,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-04,0,0,0,0,0,0,1168423,52.9399,-106.4509,0,0,0,0,0,0,0,0,0
"Yukon",2020-03-04,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-04,34,0,7,0,0,0,37949851,56.130367,-106.346771,3.14285714285714,0.895919196099084,0,0,0,0,0.184453952138047,0,0
"Alberta",2020-03-05,1,0,0,0,0,0,4345737,53.9333,-116.5765,0.142857142857143,0.230110565825774,0,0,0,0,0,0,0
"British Columbia",2020-03-05,21,0,4,0,0,0,5020302,53.7267,-127.6476,2,4.18301528473785,0,0,0,0,0.796764816140543,0,0
"Manitoba",2020-03-05,0,0,0,0,0,0,1360396,53.7609,-98.8139,0,0,0,0,0,0,0,0,0
"New Brunswick",2020-03-05,0,0,0,0,0,0,772094,46.5653,-66.4619,0,0,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-05,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-05,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-05,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-05,22,0,4,0,0,0,14446515,51.2538,-85.3232,2.28571428571429,1.52285862714987,0,0,0,0.142857142857143,0.276883386754522,0,0
"Prince Edward Island",2020-03-05,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-05,2,0,0,0,0,0,8433301,52.9399,-73.5491,0.142857142857143,0.237155059448252,0,0,0,0,0,0,0
"Repatriated",2020-03-05,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-05,0,0,0,0,0,0,1168423,52.9399,-106.4509,0,0,0,0,0,0,0,0,0
"Yukon",2020-03-05,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-05,46,0,8,0,0,0,37949851,56.130367,-106.346771,4.57142857142857,1.21212597119288,0,0,0,0.142857142857143,0.210804516729196,0,0
"Alberta",2020-03-06,2,0,0,0,0,0,4345737,53.9333,-116.5765,0.285714285714286,0.460221131651547,0,0,0,0,0,0,0
"British Columbia",2020-03-06,21,0,4,0,0,0,5020302,53.7267,-127.6476,2,4.18301528473785,0,0,0,0,0.796764816140543,0,0
"Manitoba",2020-03-06,0,0,0,0,0,0,1360396,53.7609,-98.8139,0,0,0,0,0,0,0,0,0
"New Brunswick",2020-03-06,0,0,0,0,0,0,772094,46.5653,-66.4619,0,0,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-06,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-06,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-06,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-06,28,0,4,0,0,0,14446515,51.2538,-85.3232,2.85714285714286,1.93818370728165,0,0,0,0.142857142857143,0.276883386754522,0,0
"Prince Edward Island",2020-03-06,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-06,3,0,0,0,0,0,8433301,52.9399,-73.5491,0.285714285714286,0.355732589172377,0,0,0,0,0,0,0
"Repatriated",2020-03-06,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-06,0,0,0,0,0,0,1168423,52.9399,-106.4509,0,0,0,0,0,0,0,0,0
"Yukon",2020-03-06,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-06,54,0,8,0,0,0,37949851,56.130367,-106.346771,5.42857142857143,1.42293048792207,0,0,0,0.142857142857143,0.210804516729196,0,0
"Alberta",2020-03-07,2,0,0,0,0,0,4345737,53.9333,-116.5765,0.285714285714286,0.460221131651547,0,0,0,0,0,0,0
"British Columbia",2020-03-07,27,0,4,0,0,0,5020302,53.7267,-127.6476,2.71428571428571,5.37816250894866,0,0,0,0,0.796764816140543,0,0
"Manitoba",2020-03-07,0,0,0,0,0,0,1360396,53.7609,-98.8139,0,0,0,0,0,0,0,0,0
"New Brunswick",2020-03-07,0,0,0,0,0,0,772094,46.5653,-66.4619,0,0,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-07,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-07,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-07,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-07,28,0,4,0,0,0,14446515,51.2538,-85.3232,2.42857142857143,1.93818370728165,0,0,0,0.142857142857143,0.276883386754522,0,0
"Prince Edward Island",2020-03-07,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-07,3,0,0,0,0,0,8433301,52.9399,-73.5491,0.285714285714286,0.355732589172377,0,0,0,0,0,0,0
"Repatriated",2020-03-07,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-07,0,0,0,0,0,0,1168423,52.9399,-106.4509,0,0,0,0,0,0,0,0,0
"Yukon",2020-03-07,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-07,60,0,8,0,0,0,37949851,56.130367,-106.346771,5.71428571428571,1.58103387546897,0,0,0,0.142857142857143,0.210804516729196,0,0
"Alberta",2020-03-08,4,0,0,0,0,0,4345737,53.9333,-116.5765,0.571428571428571,0.920442263303095,0,0,0,0,0,0,0
"British Columbia",2020-03-08,27,1,4,0,0,0,5020302,53.7267,-127.6476,2.71428571428571,5.37816250894866,0.142857142857143,0.199191204035136,3.7037037037037,0,0.796764816140543,0,0
"Manitoba",2020-03-08,0,0,0,0,0,0,1360396,53.7609,-98.8139,0,0,0,0,0,0,0,0,0
"New Brunswick",2020-03-08,0,0,0,0,0,0,772094,46.5653,-66.4619,0,0,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-08,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-08,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-08,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-08,32,0,4,0,0,0,14446515,51.2538,-85.3232,2.42857142857143,2.21506709403617,0,0,0,0.142857142857143,0.276883386754522,0,0
"Prince Edward Island",2020-03-08,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-08,4,0,0,0,0,0,8433301,52.9399,-73.5491,0.428571428571429,0.474310118896503,0,0,0,0,0,0,0
"Repatriated",2020-03-08,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-08,0,0,0,0,0,0,1168423,52.9399,-106.4509,0,0,0,0,0,0,0,0,0
"Yukon",2020-03-08,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-08,67,1,8,0,0,0,37949851,56.130367,-106.346771,6.14285714285714,1.76548782760702,0.142857142857143,0.0263505645911495,1.49253731343284,0.142857142857143,0.210804516729196,0,0
"Alberta",2020-03-09,14,0,0,0,0,2,4345737,53.9333,-116.5765,2,3.22154792156083,0,0,0,0,0,0,0
"British Columbia",2020-03-09,32,1,4,0,0,0,5020302,53.7267,-127.6476,3.42857142857143,6.37411852912434,0.142857142857143,0.199191204035136,3.125,0,0.796764816140543,0,0
"Manitoba",2020-03-09,0,0,0,0,0,0,1360396,53.7609,-98.8139,0,0,0,0,0,0,0,0,0
"New Brunswick",2020-03-09,0,0,0,0,0,0,772094,46.5653,-66.4619,0,0,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-09,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-09,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-09,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-09,35,0,5,0,0,0,14446515,51.2538,-85.3232,2.85714285714286,2.42272963410207,0,0,0,0.285714285714286,0.346104233443152,0,0
"Prince Edward Island",2020-03-09,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-09,5,0,0,0,0,0,8433301,52.9399,-73.5491,0.571428571428571,0.592887648620629,0,0,0,0,0,0,0
"Repatriated",2020-03-09,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-09,0,0,0,0,0,0,1168423,52.9399,-106.4509,0,0,0,0,0,0,0,0,0
"Yukon",2020-03-09,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-09,86,1,9,0,0,2,37949851,56.130367,-106.346771,8.85714285714286,2.26614855483886,0.142857142857143,0.0263505645911495,1.16279069767442,0.285714285714286,0.237155081320346,0,0
"Alberta",2020-03-10,14,0,0,0,0,2,4345737,53.9333,-116.5765,2,3.22154792156083,0,0,0,0,0,0,0
"British Columbia",2020-03-10,39,1,4,0,0,0,5020302,53.7267,-127.6476,3.85714285714286,7.76845695737029,0.142857142857143,0.199191204035136,2.56410256410256,0,0.796764816140543,0,0
"Manitoba",2020-03-10,0,0,0,0,0,0,1360396,53.7609,-98.8139,0,0,0,0,0,0,0,0,0
"New Brunswick",2020-03-10,0,0,0,0,0,0,772094,46.5653,-66.4619,0,0,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-10,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-10,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-10,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-10,37,0,5,0,0,0,14446515,51.2538,-85.3232,2.42857142857143,2.56117132747933,0,0,0,0.285714285714286,0.346104233443152,0,0
"Prince Edward Island",2020-03-10,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-10,5,0,0,0,0,0,8433301,52.9399,-73.5491,0.571428571428571,0.592887648620629,0,0,0,0,0,0,0
"Repatriated",2020-03-10,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-10,0,0,0,0,0,0,1168423,52.9399,-106.4509,0,0,0,0,0,0,0,0,0
"Yukon",2020-03-10,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-10,95,1,9,0,0,2,37949851,56.130367,-106.346771,8.85714285714286,2.5033036361592,0.142857142857143,0.0263505645911495,1.05263157894737,0.285714285714286,0.237155081320346,0,0
"Alberta",2020-03-11,19,0,0,0,0,4,4345737,53.9333,-116.5765,2.71428571428571,4.3721007506897,0,0,0,0,0,0,0
"British Columbia",2020-03-11,46,1,4,0,0,0,5020302,53.7267,-127.6476,4.71428571428571,9.16279538561624,0.142857142857143,0.199191204035136,2.17391304347826,0,0.796764816140543,0,0
"Manitoba",2020-03-11,0,0,0,0,0,0,1360396,53.7609,-98.8139,0,0,0,0,0,0,0,0,0
"New Brunswick",2020-03-11,0,0,0,0,0,0,772094,46.5653,-66.4619,0,0,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-11,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-11,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-11,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-11,42,1,5,0,0,0,14446515,51.2538,-85.3232,3.14285714285714,2.90727556092248,0.142857142857143,0.0692208466886304,2.38095238095238,0.285714285714286,0.346104233443152,0,0
"Prince Edward Island",2020-03-11,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-11,8,0,0,0,0,0,8433301,52.9399,-73.5491,1,0.948620237793007,0,0,0,0,0,0,0
"Repatriated",2020-03-11,1,0,0,0,0,0,0,0,0,0.142857142857143,Inf,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-11,0,0,0,0,0,0,1168423,52.9399,-106.4509,0,0,0,0,0,0,0,0,0
"Yukon",2020-03-11,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-11,116,2,9,0,0,4,37949851,56.130367,-106.346771,11.7142857142857,3.05666549257334,0.285714285714286,0.052701129182299,1.72413793103448,0.285714285714286,0.237155081320346,0,0
"Alberta",2020-03-12,23,0,0,0,0,0,4345737,53.9333,-116.5765,3.14285714285714,5.29254301399279,0,0,0,0,0,0,0
"British Columbia",2020-03-12,53,1,4,0,0,0,5020302,53.7267,-127.6476,4.57142857142857,10.5571338138622,0.142857142857143,0.199191204035136,1.88679245283019,0,0.796764816140543,0,0
"Manitoba",2020-03-12,1,0,0,0,0,0,1360396,53.7609,-98.8139,0.142857142857143,0.735080079623874,0,0,0,0,0,0,0
"New Brunswick",2020-03-12,1,0,0,0,0,0,772094,46.5653,-66.4619,0.142857142857143,1.295179084412,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-12,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-12,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-12,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-12,59,1,5,0,0,0,14446515,51.2538,-85.3232,5.28571428571428,4.0840299546292,0.142857142857143,0.0692208466886304,1.69491525423729,0.142857142857143,0.346104233443152,0,0
"Prince Edward Island",2020-03-12,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-12,17,0,0,0,0,0,8433301,52.9399,-73.5491,2.14285714285714,2.01581800531014,0,0,0,0,0,0,0
"Repatriated",2020-03-12,1,0,0,0,0,0,0,0,0,0.142857142857143,Inf,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-12,1,0,0,0,0,0,1168423,52.9399,-106.4509,0.142857142857143,0.855854429431807,0,0,0,0,0,0,0
"Yukon",2020-03-12,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-12,156,2,9,0,0,0,37949851,56.130367,-106.346771,15.7142857142857,4.11068807621932,0.285714285714286,0.052701129182299,1.28205128205128,0.142857142857143,0.237155081320346,0,0
"Alberta",2020-03-13,29,0,0,0,2,6,4345737,53.9333,-116.5765,3.85714285714286,6.67320640894744,0,0,0,0,0,0,0
"British Columbia",2020-03-13,64,1,5,0,0,0,5020302,53.7267,-127.6476,6.14285714285714,12.7482370582487,0.142857142857143,0.199191204035136,1.5625,0.142857142857143,0.995956020175679,0,0
"Manitoba",2020-03-13,4,0,0,0,0,0,1360396,53.7609,-98.8139,0.571428571428571,2.9403203184955,0,0,0,0,0,0,0
"New Brunswick",2020-03-13,1,0,0,0,0,0,772094,46.5653,-66.4619,0.142857142857143,1.295179084412,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-13,0,0,0,0,0,0,523790,53.1355,-57.6604,0,0,0,0,0,0,0,0,0
"Nova Scotia",2020-03-13,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-13,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-13,79,1,5,0,0,0,14446515,51.2538,-85.3232,7.28571428571428,5.46844688840181,0.142857142857143,0.0692208466886304,1.26582278481013,0.142857142857143,0.346104233443152,0,0
"Prince Edward Island",2020-03-13,0,0,0,0,0,0,154748,46.5107,-63.4168,0,0,0,0,0,0,0,0,0
"Quebec",2020-03-13,17,0,0,0,0,0,8433301,52.9399,-73.5491,2,2.01581800531014,0,0,0,0,0,0,0
"Repatriated",2020-03-13,2,0,0,0,0,0,0,0,0,0.285714285714286,Inf,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-13,2,0,0,0,0,0,1168423,52.9399,-106.4509,0.285714285714286,1.71170885886361,0,0,0,0,0,0,0
"Yukon",2020-03-13,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-13,198,2,10,0,2,6,37949851,56.130367,-106.346771,20.5714285714286,5.2174117890476,0.285714285714286,0.052701129182299,1.01010101010101,0.285714285714286,0.263505645911495,0,0
"Alberta",2020-03-14,39,0,0,0,2,6,4345737,53.9333,-116.5765,5.28571428571429,8.97431206720517,0,0,0,0,0,0,0
"British Columbia",2020-03-14,73,1,5,0,0,0,5020302,53.7267,-127.6476,6.57142857142857,14.5409578945649,0.142857142857143,0.199191204035136,1.36986301369863,0.142857142857143,0.995956020175679,0,0
"Manitoba",2020-03-14,4,0,0,0,0,0,1360396,53.7609,-98.8139,0.571428571428571,2.9403203184955,0,0,0,0,0,0,0
"New Brunswick",2020-03-14,2,0,0,0,0,0,772094,46.5653,-66.4619,0.285714285714286,2.590358168824,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-14,1,0,0,0,0,0,523790,53.1355,-57.6604,0.142857142857143,1.90916206876802,0,0,0,0,0,0,0
"Nova Scotia",2020-03-14,0,0,0,0,0,0,965382,44.682,-63.7443,0,0,0,0,0,0,0,0,0
"Northwest Territories",2020-03-14,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-14,103,1,5,0,0,0,14446515,51.2538,-85.3232,10.7142857142857,7.12974720892894,0.142857142857143,0.0692208466886304,0.970873786407767,0.142857142857143,0.346104233443152,0,0
"Prince Edward Island",2020-03-14,1,0,0,0,0,0,154748,46.5107,-63.4168,0.142857142857143,6.46211905808153,0,0,0,0,0,0,0
"Quebec",2020-03-14,24,0,0,0,0,0,8433301,52.9399,-73.5491,3,2.84586071337902,0,0,0,0,0,0,0
"Repatriated",2020-03-14,4,0,0,0,0,0,0,0,0,0.571428571428571,Inf,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-14,6,0,0,0,0,0,1168423,52.9399,-106.4509,0.857142857142857,5.13512657659084,0,0,0,0,0,0,0
"Yukon",2020-03-14,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-14,257,2,10,0,2,6,37949851,56.130367,-106.346771,28.1428571428571,6.77209509992543,0.285714285714286,0.052701129182299,0.778210116731518,0.285714285714286,0.263505645911495,0,0
"Alberta",2020-03-15,56,0,0,7108,2,6,4345737,53.9333,-116.5765,7.42857142857143,12.8861916862433,0,0,0,0,0,7108,1635.6259018896
"British Columbia",2020-03-15,73,1,5,6326,0,0,5020302,53.7267,-127.6476,6.57142857142857,14.5409578945649,0,0.199191204035136,1.36986301369863,0.142857142857143,0.995956020175679,6326,1260.08355672627
"Manitoba",2020-03-15,7,0,0,400,0,0,1360396,53.7609,-98.8139,1,5.14556055736712,0,0,0,0,0,400,294.03203184955
"New Brunswick",2020-03-15,6,0,0,0,0,0,772094,46.5653,-66.4619,0.857142857142857,7.77107450647201,0,0,0,0,0,0,0
"Newfoundland and Labrador",2020-03-15,1,0,0,161,0,0,523790,53.1355,-57.6604,0.142857142857143,1.90916206876802,0,0,0,0,0,161,307.375093071651
"Nova Scotia",2020-03-15,3,0,0,418,0,0,965382,44.682,-63.7443,0.428571428571429,3.10757814005233,0,0,0,0,0,418,432.989220847292
"Northwest Territories",2020-03-15,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-15,145,1,5,8465,0,0,14446515,51.2538,-85.3232,16.1428571428571,10.0370227698514,0.142857142857143,0.0692208466886304,0.689655172413793,0.142857142857143,0.346104233443152,8465,585.954467219257
"Prince Edward Island",2020-03-15,1,0,0,78,0,0,154748,46.5107,-63.4168,0.142857142857143,6.46211905808153,0,0,0,0,0,78,504.045286530359
"Quebec",2020-03-15,39,0,0,0,0,0,8433301,52.9399,-73.5491,5,4.62452365924091,0,0,0,0,0,0,0
"Repatriated",2020-03-15,4,0,0,0,0,0,0,0,0,0.571428571428571,Inf,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-15,6,0,0,796,0,0,1168423,52.9399,-106.4509,0.857142857142857,5.13512657659084,0,0,0,0,0,796,681.260125827718
"Yukon",2020-03-15,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-15,341,2,10,23752,2,6,37949851,56.130367,-106.346771,39.1428571428571,8.98554252558198,0.142857142857143,0.052701129182299,0.586510263929619,0.285714285714286,0.263505645911495,23752,625.878610168983
"Alberta",2020-03-16,74,0,0,10598,2,7,4345737,53.9333,-116.5765,8.57142857142857,17.0281818711073,0,0,0,0,0,3490,2438.71177662155
"British Columbia",2020-03-16,103,4,5,6326,0,0,5020302,53.7267,-127.6476,10.1428571428571,20.516694015619,0.428571428571429,0.796764816140543,3.88349514563107,0.142857142857143,0.995956020175679,0,1260.08355672627
"Manitoba",2020-03-16,8,0,0,2280,0,0,1360396,53.7609,-98.8139,1.14285714285714,5.88064063699099,0,0,0,0,0,1880,1675.98258154243
"New Brunswick",2020-03-16,7,0,0,203,0,0,772094,46.5653,-66.4619,1,9.06625359088401,0,0,0,0,0,203,262.921354135636
"Newfoundland and Labrador",2020-03-16,1,0,0,161,0,0,523790,53.1355,-57.6604,0.142857142857143,1.90916206876802,0,0,0,0,0,0,307.375093071651
"Nova Scotia",2020-03-16,5,0,0,676,0,0,965382,44.682,-63.7443,0.714285714285714,5.17929690008722,0,0,0,0,0,258,700.240940891792
"Northwest Territories",2020-03-16,0,0,0,0,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,0,0
"Ontario",2020-03-16,177,1,5,10178,0,0,14446515,51.2538,-85.3232,20.2857142857143,12.2520898638876,0.142857142857143,0.0692208466886304,0.564971751412429,0,0.346104233443152,1713,704.529777596881
"Prince Edward Island",2020-03-16,1,0,0,147,0,0,154748,46.5107,-63.4168,0.142857142857143,6.46211905808153,0,0,0,0,0,69,949.931501537984
"Quebec",2020-03-16,50,0,0,6202,0,2,8433301,52.9399,-73.5491,6.42857142857143,5.92887648620629,0,0,0,0,0,6202,735.417839349028
"Repatriated",2020-03-16,8,0,0,0,0,0,0,0,0,1.14285714285714,Inf,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-16,7,0,0,1107,0,0,1168423,52.9399,-106.4509,1,5.99098100602265,0,0,0,0,0,311,947.43085338101
"Yukon",2020-03-16,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-16,441,5,10,37878,2,9,37949851,56.130367,-106.346771,50.7142857142857,11.6205989846969,0.571428571428571,0.131752822955748,1.13378684807256,0.142857142857143,0.263505645911495,14126,998.106685583561
"Alberta",2020-03-17,97,0,0,12355,3,9,4345737,53.9333,-116.5765,11.8571428571429,22.3207248851,0,0,0,0,0,1757,2843.01604077743
"British Columbia",2020-03-17,186,7,5,6326,0,0,5020302,53.7267,-127.6476,21,37.0495639505352,0.857142857142857,1.39433842824595,3.76344086021505,0.142857142857143,0.995956020175679,0,1260.08355672627
"Manitoba",2020-03-17,15,0,0,2912,0,0,1360396,53.7609,-98.8139,2.14285714285714,11.0262011943581,0,0,0,0,0,632,2140.55319186472
"New Brunswick",2020-03-17,8,0,0,204,0,0,772094,46.5653,-66.4619,1.14285714285714,10.361432675296,0,0,0,0,0,1,264.216533220048
"Newfoundland and Labrador",2020-03-17,3,0,0,494,0,0,523790,53.1355,-57.6604,0.428571428571429,5.72748620630405,0,0,0,0,0,333,943.126061971401
"Nova Scotia",2020-03-17,7,0,0,941,0,0,965382,44.682,-63.7443,1,7.25101566012211,0,0,0,0,0,265,974.743676596415
"Northwest Territories",2020-03-17,0,0,0,153,0,0,44598,64.8255,-124.8457,0,0,0,0,0,0,0,153,3430.64711422037
"Ontario",2020-03-17,189,1,5,11171,0,0,14446515,51.2538,-85.3232,21.7142857142857,13.0827400241512,0.142857142857143,0.0692208466886304,0.529100529100529,0,0.346104233443152,993,773.266078358691
"Prince Edward Island",2020-03-17,1,0,0,147,0,0,154748,46.5107,-63.4168,0.142857142857143,6.46211905808153,0,0,0,0,0,0,949.931501537984
"Quebec",2020-03-17,74,0,0,7801,0,5,8433301,52.9399,-73.5491,9.85714285714286,8.77473719958531,0,0,0,0,0,1599,925.023309377906
"Repatriated",2020-03-17,9,0,0,0,0,0,0,0,0,1.28571428571429,Inf,0,NA,0,0,NA,0,NA
"Saskatchewan",2020-03-17,8,0,0,1107,0,0,1168423,52.9399,-106.4509,1.14285714285714,6.84683543545445,0,0,0,0,0,0,947.43085338101
"Yukon",2020-03-17,0,0,0,0,0,0,40369,64.2823,-135,0,0,0,0,0,0,0,0,0
"Canada",2020-03-17,597,8,10,43611,3,14,37949851,56.130367,-106.346771,71.7142857142857,15.7312870609163,1,0.210804516729196,1.34003350083752,0.142857142857143,0.263505645911495,5733,1149.17447238462
"Alberta",2020-03-18,119,0,0,14566,3,14,4345737,53.9333,-116.5765,14.2857142857143,27.3831573332671,0,0,0,0,0,2211,3351.79050181822
"British Columbia",2020-03-18,231,7,5,6326,7,13,5020302,53.7267,-127.6476,26.4285714285714,46.0131681321164,0.857142857142857,1.39433842824595,3.03030303030303,0.142857142857143,0.995956020175679,0,1260.08355672627
"Manitoba",2020-03-18,17,0,0,3270,0,0,1360396,53.7609,-98.8139,2.42857142857143,12.4963613536059,0,0,0,0,0,358,2403.71186037007
"New Brunswick",2020-03-18,11,0,0,381,0,0,772094,46.5653,-66.4619,1.57142857142857,14.246969928532,0,0,0,0,0,177,493.463231160973
"Newfoundland and Labrador",2020-03-18,3,0,0,494,0,0,523790,53.1355,-57.6604,0.428571428571429,5.72748620630405,0,0,0,0,0,0,943.126061971401
"Nova Scotia",2020-03-18,12,0,0,1153,0,0,965382,44.682,-63.7443,1.71428571428571,12.4303125602093,0,0,0,0,0,212,1194.34586516011
